accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1Q5Y6;;Segregation and condensation protein B;KSMBR1_3730;kuste4660
Q1Q5X3;rnfG;Ion-translocating oxidoreductase complex subunit G (EC 7.-.-.-) (Rnf electron transport complex subunit G);KSMBR1_3731;kuste4659
Q1Q5X4;rfnD rnfD;Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Rnf electron transport complex subunit D);KSMBR1_3732;kuste4658
Q1Q5X5;rnfC;Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Rnf electron transport complex subunit C);KSMBR1_3733;kuste4657
Q1Q5X6;psrA;Peptidylprolyl isomerase (EC 5.2.1.8);KSMBR1_3735;kuste4656
A0A2C9CJW7;mobA;Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase);KSMBR1_3736;
Q1Q5X8;;Uncharacterized protein;KSMBR1_3737;kuste4654
A0A2C9CKL9;;Putative FAD oxidoreductase protein;KSMBR1_3738;
Q1Q5Y0;rmpB;Conserved hypothetical sugar phosphate isomerase protein;KSMBR1_3739;kuste4652
A0A2C9CKW0;;Putative transposase;KSMBR1_3740 KSMBR1_3868;
Q1Q5X1;;Uncharacterized protein;KSMBR1_3741;kuste4643
A0A2C9CKM4;;DUF4338 domain-containing protein;KSMBR1_3743;
Q1Q5V8;;Uncharacterized protein;KSMBR1_3744;kuste4637
A0A2C9CKU7;czcC_4;Uncharacterized protein;KSMBR1_3745;
A0A2C9CJY0;czcB_1;HlyD_D23 domain-containing protein;KSMBR1_3746;
A0A2C9CKP6;czcA_2;Strongly similar to cobalt-zinc-cadmium resistance protein CzcA;KSMBR1_3747;
Q1Q5W3;KSMBR1_3748;UPF0060 membrane protein;KSMBR1_3748;kuste4632
Q1Q5U7;;Uncharacterized protein;KSMBR1_3749;kuste4628
Q1PXA3;;Predicted orf (Putative orf);KSMBR1_3750 KSMBR1_3845 KSMBR1_4027;kustc1120
Q1Q5U9;;Uncharacterized protein;KSMBR1_3751;kuste4626
A0A2C9CKP9;recG_4;HATPase_c_4 domain-containing protein;KSMBR1_3752;
Q1Q5V1;recG recG_5;Strongly similar to ATP-dependent DNA helicase RecG (EC 3.6.1.-);KSMBR1_3753;kuste4624
Q1Q5V2;;PIN domain protein;KSMBR1_3754;kuste4623
Q1Q5V3;;Antitoxin;KSMBR1_3755;kuste4622
A0A2C9CJY8;;Uncharacterized protein;KSMBR1_3756;
Q1Q5T7;czcC czcC_5;Similar to cobalt-zinc-cadmium resistance protein czcC;KSMBR1_3757;kuste4619
Q1Q5T8;czcB czcB_2;Similar to cobalt-zinc-cadmium resistance protein CzcB;KSMBR1_3758;kuste4618
A0A2C9CKI3;;Uncharacterized protein;KSMBR1_3759;
A0A2C9CKX9;acrB_3;Uncharacterized protein;KSMBR1_3760;
Q1Q5U2;;Uncharacterized protein;KSMBR1_3761;kuste4614
Q1Q5U3;;Uncharacterized protein;KSMBR1_3762;kuste4613
Q1Q5S5;ribD;"Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase);5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]";KSMBR1_3763;kuste4612
Q1Q5S6;aroA aroA_2;3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS);KSMBR1_3764;kuste4611
A0A2C9CKW7;acsA_2;Carbon monoxide dehydrogenase (EC 1.2.7.4);KSMBR1_3765;
Q1Q5T1;;HicB-like domain-containing protein;KSMBR1_3766;kuste4606
Q1Q5R6;;Uncharacterized protein;KSMBR1_3768;kuste4602
Q1Q5R7;;Peptidase_M23 domain-containing protein;KSMBR1_3769;kuste4601
Q1Q5R8;ATPG atpG_2;Similar to ATPG gene encoding subunit gamma of ATP synthase (EC 3.6.3.14);KSMBR1_3770;kuste4600
Q1Q5R9;ATPA atpA atpA_2;ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha);KSMBR1_3771;kuste4599
A0A2C9CKS1;atpF;ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b);KSMBR1_3772;
Q1Q5S1;ATPE atpE atpE_2;ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein);KSMBR1_3773;kuste4597
Q1Q5S2;ATPB atpB atpB_2;ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6);KSMBR1_3774;kuste4596
A0A2C9CKX8;;N-ATPase, AtpR subunit;KSMBR1_3775;
Q1Q5S4;;Uncharacterized protein;KSMBR1_3776;kuste4594
Q1Q5Q7;ATPC atpC_2;Similar to ATPC gene encoding subunit epsilon of ATP synthase (EC 3.6.3.14);KSMBR1_3777;kuste4593
A0A2C9CKQ4;atpD_2 atpD;ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta);KSMBR1_3778;
A0A2C9CKJ7;;Zinc metalloprotease;KSMBR1_3779;
A0A2C9CL00;;Trehalose 6-phosphate phosphatase (EC 3.1.3.12);KSMBR1_3780;
Q1Q5R3;trePP;Similar to trehalose-6-phosphate phosphorylase (EC 2.4.1.216);KSMBR1_3781;kuste4587
Q1Q5R4;oleB oleB_2;Similar to multi drug resistance ABC-transporter ATP-binding protein;KSMBR1_3782;kuste4586
Q1Q5R5;lysC;Aspartokinase (EC 2.7.2.4);KSMBR1_3783;kuste4585
A0A2C9CN84;nirJ_4;Elp3 domain-containing protein;KSMBR1_3784;
A0A2C9CKY6;leuA_2;Pyruvate carboxyltransferase domain-containing protein;KSMBR1_3785;
A0A2C9CK20;valS;Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS);KSMBR1_3786;
A0A2C9CKT8;;TPR_REGION domain-containing protein;KSMBR1_3787;
Q1Q5Q5;;Similar to arginase (EC 3.5.3.1);KSMBR1_3789;kuste4576
Q1Q5N7;hao hao_8;Similar to hydroxylamine oxidoreductase hao;KSMBR1_3792;kuste4574
Q1Q5N8;;Cytochrome c family protein;KSMBR1_3793;kuste4573
Q1Q5N9;qcrC;Hypothetical bc1 protein (Putative UQ:cyt c oxidoreductase) (Putative bc1 protein (Putative UQ:cyt c oxidoreductase));KSMBR1_3794;kuste4572
Q1Q5P0;qcrB qcrB_1;Similar to cytochrome b6 (EC 1.10.99.1);KSMBR1_3795;kuste4571
Q1Q5P1;;Similar to NAD(P) oxidoreductase, FAD-containing subunit (EC 1.-.-.-);KSMBR1_3796;kuste4570
Q1Q5P2;qcrB qcrB_2;Similar to the Rieske Protein II of bc1 complex (EC 1.10.99.1);KSMBR1_3797;kuste4569
Q1Q5P3;SirA sirA;Similar to response regulator sirA;KSMBR1_3798;kuste4568
Q1Q5P4;;JAB_MPN domain-containing protein;KSMBR1_3799;kuste4567
Q1Q5P5;Cys1 cys1;Strongly similar to cysteine synthase (O-acetylserine sulfhydrylase) (O-acetylserine (Thiol)-lyase) (EC 2.5.1.47) (EC 4.2.99.8);KSMBR1_3800;kuste4566
Q1Q5P6;;Uncharacterized protein;KSMBR1_3801;kuste4565
Q1Q5M8;asrC asrC_2;Similar to anaerobic sulfite reductase subunit C (EC 1.8.1.-);KSMBR1_3802;kuste4564
A0A2C9CKU3;cysG;Sirohm_synth_M domain-containing protein;KSMBR1_3803;
Q1Q5N0;lysa lysA;Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20);KSMBR1_3804;kuste4562
A0A2C9CL08;argh argH;Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase);KSMBR1_3805;
A0A2C9CK41;;Uncharacterized protein;KSMBR1_3806;
Q1Q5N2;ankyrin;Similar to Ankyrin;KSMBR1_3807;kuste4560
A0A2C9CKT4;;Uncharacterized protein;KSMBR1_3808;
A0A2C9CKM5;;Uncharacterized protein;KSMBR1_3809;
A0A2C9CL32;;Uncharacterized protein;KSMBR1_3810;
A0A2C9CKJ3;;Uncharacterized protein;KSMBR1_3811;
Q1Q5M3;;Uncharacterized protein;KSMBR1_3812;kuste4551
Q1Q5M4;;Uncharacterized protein;KSMBR1_3813;kuste4550
Q1Q5M5;;Uncharacterized protein;KSMBR1_3814;kuste4549
Q1Q5M6;;Uncharacterized protein;KSMBR1_3815;kuste4548
Q1Q5M7;;Uncharacterized protein;KSMBR1_3816;kuste4547
Q1Q5K1;;Uncharacterized protein;KSMBR1_3817 KSMBR1_3823;kuste4534
Q1Q5L0;;Uncharacterized protein;KSMBR1_3818;kuste4545
A0A2C9CKN4;;Uncharacterized protein;KSMBR1_3819;
Q1Q5L3;;Uncharacterized protein;KSMBR1_3820;kuste4542
Q1PXB0;;Putative orf;KSMBR1_3821;kustc1113
Q1Q5K0;;Uncharacterized protein;KSMBR1_3822;kuste4535
Q1Q5K2;ompr;Similar to two component response regulator;KSMBR1_3824;kuste4533
Q1Q5K3;NtrB ntrB;Similar to histidine kinase;KSMBR1_3825;kuste4532
Q1Q5K4;;Very similar to histidine kinase;KSMBR1_3826;kuste4531
A0A2C9CKX4;aldB;Alpha-acetolactate decarboxylase (EC 4.1.1.5);KSMBR1_3827;
A0A2C9CKV4;alsD;Alpha-acetolactate decarboxylase (EC 4.1.1.5);KSMBR1_3828;
Q1Q5K7;;Uncharacterized protein;KSMBR1_3829;kuste4528
A0A2C9CL53;;Uncharacterized protein;KSMBR1_3830;
Q1Q5J0;;Uncharacterized protein;KSMBR1_3831;kuste4525
Q1Q5J1;;Uncharacterized protein;KSMBR1_3832;kuste4524
Q1Q5J3;;Uncharacterized protein;KSMBR1_3833;kuste4522
Q1Q5J6;;DDE_Tnp_1 domain-containing protein;KSMBR1_3834;kuste4519
A0A2C9CL35;;CAAX amino terminal protease self- immunity;KSMBR1_3835;
A0A2C9CK67;lpxA lpxD;UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-);KSMBR1_3836;
A0A2C9CKY4;;Uncharacterized protein;KSMBR1_3837;
Q1Q5I2;;DTW domain-containing protein;KSMBR1_3838;kuste4514
A0A2C9CKQ9;;Transport permease protein;KSMBR1_3839;
A0A2C9CL61;;Uncharacterized protein;KSMBR1_3840;
A0A2C9CKP2;glcv;ABC transporter domain-containing protein;KSMBR1_3841;
Q1Q5I7;glcV;Similar to ATP binding site of ABC tranporter GlcV;KSMBR1_3842;kuste4509
A0A2C9CKY5;;HlyD_D23 domain-containing protein;KSMBR1_3843;
Q1Q5H1;;DUF2281 domain-containing protein;KSMBR1_3844;kuste4506
A0A2C9CK77;tnpA_23;Uncharacterized protein;KSMBR1_3846;
A0A2C9CKX3;;Uncharacterized protein;KSMBR1_3848;
A0A2C9CKR9;;Uncharacterized protein;KSMBR1_3849;
A0A2C9CKY2;;Uncharacterized protein;KSMBR1_3858;
A0A2C9CKS7;;Putative orf;KSMBR1_3859;
A0A2C9CL79;;DDE_Tnp_1 domain-containing protein;KSMBR1_3860;
Q1Q5F4;;HTH cro/C1-type domain-containing protein;KSMBR1_3861;kuste4484
A0A2C9CL18;;Nitroreductase domain-containing protein;KSMBR1_3862;
A0A2C9CL05;;DDE_Tnp_1 domain-containing protein;KSMBR1_3863;
A0A2C9CL67;;Uncharacterized protein;KSMBR1_3865;
A0A2C9CK98;amtb_2;Ammonium transporter;KSMBR1_3866;
Q1Q359;;Hypothetical membrane protein (Putative membrane protein);KSMBR1_3867;kuste3688
Q1Q350;;Uncharacterized protein;KSMBR1_3869;kuste3680
Q1Q351;;Uncharacterized protein;KSMBR1_3870;kuste3679
Q1Q352;;Uncharacterized protein;KSMBR1_3871;kuste3678
Q1Q353;;Strongly similar to DNA polymerase beta family (Strongly similar to DNA polymerase beta family protein) (EC 2.7.7.7);KSMBR1_3872;kuste3677
Q1Q354;sat;Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT);KSMBR1_3874;kuste3676
Q1Q355;aprB;Similar to adenylylsulfate reductase chain B (EC 1.8.99.2);KSMBR1_3875;kuste3675
Q1Q338;apsA;Similar to adenylylsulfate reductase chain A (EC 1.8.99.2);KSMBR1_3876;kuste3674
A0A2C9CKB0;;Uncharacterized protein;KSMBR1_3877;
A0A2C9CL22;pspE rst;Strongly similar to rhodanese sulfur transferase and phage shock protein pspE (EC 2.8.1.1);KSMBR1_3878;
Q1Q341;;Uncharacterized protein;KSMBR1_3879;kuste3671
Q1Q342;;Transglut_core3 domain-containing protein;KSMBR1_3880;kuste3670
A0A2C9CL89;;Uncharacterized protein;KSMBR1_3881;
A0A2C9CL33;hprK;HPr kinase/phosphorylase;KSMBR1_3884;
A0A2C9CNI5;;Uncharacterized protein;KSMBR1_3885;
A0A2C9CL88;;Uncharacterized protein;KSMBR1_3886;
A0A2C9CKB8;flu_1;Carb-bd_dom_fam9 domain-containing protein;KSMBR1_3887;
A0A2C9CL29;;DDE_5 domain-containing protein;KSMBR1_3888;
A0A2C9CL13;tnpA_24;Tnp_DDE_dom domain-containing protein;KSMBR1_3889;
A0A2C9CL46;;Uncharacterized protein;KSMBR1_3893;
A0A2C9CKD7;;Uncharacterized protein;KSMBR1_3900 KSMBR1_3907;
A0A2C9CLA8;;Uncharacterized protein;KSMBR1_3901;
A0A2C9CKU5;;Uncharacterized protein;KSMBR1_3902;
A0A2C9CL55;;Uncharacterized protein;KSMBR1_3903;
A0A2C9CL51;;Uncharacterized protein;KSMBR1_3904;
A0A2C9CNL0;;Uncharacterized protein;KSMBR1_3905;
A0A2C9CLB6;;Uncharacterized protein;KSMBR1_3906;
A0A2C9CL49;;Uncharacterized protein;KSMBR1_3908;
A0A2C9CL28;;Uncharacterized protein;KSMBR1_3909;
Q1Q7E0;;Y1_Tnp domain-containing protein;KSMBR1_3910;kuste2751
A0A2C9CLB8;;Putative orf;KSMBR1_3911;
A0A2C9CKV5;;Uncharacterized protein;KSMBR1_3912;
Q1Q7D4;;Uncharacterized protein;KSMBR1_3913;kuste2742
Q1Q7D5;flu flu_2;Similar to cell surface glycoprotein (S-layer protein);KSMBR1_3914;kuste2741
A0A2C9CNL9;;DUF362 domain-containing protein;KSMBR1_3915;
A0A2C9CLC5;gltP;Uncharacterized protein;KSMBR1_3916;
A0A2C9CKE3;;Putative orf;KSMBR1_3917;
A0A2C9CL58;;Tnp_DDE_dom domain-containing protein;KSMBR1_3918;
A0A2C9CL38;tnpA_25;Tnp_DDE_dom domain-containing protein;KSMBR1_3919;
A0A2C9CKY3;;Putative orf;KSMBR1_3920;
A0A2C9CLD1;;Uncharacterized protein;KSMBR1_3921;
A0A2C9CKW5;hemC;Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase);KSMBR1_3922;
A0A2C9CL75;dsbD CcdA;Thioredoxin domain-containing protein;KSMBR1_3923;
Q1Q7C0;;Uncharacterized protein;KSMBR1_3924;kuste2731
Q1Q7C1;;Uncharacterized protein;KSMBR1_3925;kuste2730
Q1Q7C2;;Uncharacterized protein;KSMBR1_3926;kuste2729
A0A2C9CKF0;;Uncharacterized protein;KSMBR1_3927;
A0A2C9CL68;;Uncharacterized protein;KSMBR1_3928;
A0A2C9CL47;wapA;Uncharacterized protein;KSMBR1_3929;
Q1Q7C6;malT;Similar to ATP dependent transcriptional activator;KSMBR1_3930;kuste2725
Q1Q7C7;;HicB-like domain-containing protein;KSMBR1_3931;kuste2724
Q1Q7B0;plsY;Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase);KSMBR1_3932;kuste2722
Q1Q7B1;KdkA kdkA_2;Similar to KDO kinase ( 2-keto-3-deoxy-D-manno-octulosonic acid );KSMBR1_3933;kuste2721
A0A2C9CL77;rfaC_2;Uncharacterized protein;KSMBR1_3934;
Q1Q7B3;IspB ispB;Similar to octaprenyl diphosphate synthase (EC 2.5.-.-);KSMBR1_3935;kuste2719
A0A2C9CLE5;tatA;Sec-independent protein translocase protein TatA;KSMBR1_3936;
Q1Q7B4;;Similar to enoyl-CoA hydratase (EC 4.2.1.17);KSMBR1_3937;kuste2718
A0A2C9CL76;fadH;Uncharacterized protein;KSMBR1_3938;
A0A2C9CL07;;Uncharacterized protein;KSMBR1_3940;
Q1Q7A2;PphB pphB_2;Similar to serine/threonine specific protein phosphatase 2;KSMBR1_3941;kuste2711
Q1Q7A3;;Phosphatidylinositol 3- and 4-kinase;KSMBR1_3942;kuste2710
A0A2C9CLA7;deaD_1;Strongly similar to ATP-dependent RNA helicase;KSMBR1_3943;
A0A2C9CL84;deaD_2;Strongly similar to ATP-dependent RNA helicase;KSMBR1_3944;
A0A2C9CNQ1;ruvB;AAA domain-containing protein;KSMBR1_3945;
Q1Q7A9;;Uncharacterized protein;KSMBR1_3946;kuste2704
A0A2C9CKG8;;Cache domain-containing protein;KSMBR1_3947;
Q1Q794;fsaA tal;Probable transaldolase (EC 2.2.1.2);KSMBR1_3948;kuste2702
A0A2C9CL74;holA;DNA_pol3_delta domain-containing protein;KSMBR1_3949;
Q1Q796;cobU;Strongly similar to bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase (EC 2.7.1.-) (EC 2.7.7.-);KSMBR1_3950;kuste2700
A0A2C9CLG0;cobS;Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase);KSMBR1_3951;
A0A2C9CL01;glgP;Strongly similar to glycogen phosphorylase (EC 2.4.1.1);KSMBR1_3952;
A0A2C9CLB7;glgP;Alpha-1,4 glucan phosphorylase (EC 2.4.1.1);KSMBR1_3953;
A0A2C9CL92;malP;Alpha-1,4 glucan phosphorylase (EC 2.4.1.1);KSMBR1_3954;
A0A2C9CNR4;malP;Alpha-1,4 glucan phosphorylase (EC 2.4.1.1);KSMBR1_3955;
A0A2C9CLG4;glgP;Alpha-1,4 glucan phosphorylase (EC 2.4.1.1);KSMBR1_3956;
A0A2C9CKI0;cysC;Adenylyl-sulfate kinase (EC 2.7.1.25);KSMBR1_3957;
Q1Q787;MmcK mmcK;Strongly similar to cytochrome p450 hydroxylase MmcK;KSMBR1_3958;kuste2696
Q1Q790;;DDE_Tnp_ISL3 domain-containing protein;KSMBR1_3959;kuste2693
Q1Q791;;Uncharacterized protein;KSMBR1_3960;kuste2692
A0A2C9CLH0;;Uncharacterized protein;KSMBR1_3961;
Q1Q786;Zwf zwf;Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49);KSMBR1_3962;kuste2688
A0A2C9CLC9;gnd_2;6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44);KSMBR1_3963;
Q1Q775;talA tal;Transaldolase (EC 2.2.1.2);KSMBR1_3964;kuste2686
Q1Q776;;Uncharacterized protein;KSMBR1_3965;kuste2685
Q1Q777;dps;Similar to DNA protecting protein dps;KSMBR1_3966;kuste2684
A0A2C9CKI8;tktA;Strongly similar to transketolase 1 thiamin-binding isozyme (EC 2.2.1.1);KSMBR1_3967;
Q1Q779;rpiB;Fusion protein similar to hydrolase/phosphatase (N-terminal) and ribose-5-phosphate isomerase (C-terminal) (EC 5.3.1.6);KSMBR1_3968;kuste2682
A0A2C9CL36;;Uncharacterized protein;KSMBR1_3970;
A0A2C9CLH7;;Uncharacterized protein;KSMBR1_3971;
A0A2C9CL17;;Uncharacterized protein;KSMBR1_3972;
Q1Q782;;Hva1_TUDOR domain-containing protein;KSMBR1_3973;kuste2679
A0A2C9CLB3;;Uncharacterized protein;KSMBR1_3974;
Q1Q763;;Y1_Tnp domain-containing protein;KSMBR1_3975;kuste2677
A0A2C9CLI4;opuBC;ABC transmembrane type-1 domain-containing protein;KSMBR1_3976;
Q1Q766;opuBA;Similar to ATPase component of glycine betaine ABC type transporter;KSMBR1_3977;kuste2674
Q1Q768;NuoN nuoN nuoN_2;NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N);KSMBR1_3978;kuste2672
Q1Q769;nuoM;Strongly similar to NADH dehydrogenase I chain M (EC 1.6.5.3);KSMBR1_3979;kuste2671
Q1Q770;nuoL nuoL_2;Strongly similar to NADH dehydrogenase I chain L (EC 1.6.5.3);KSMBR1_3980;kuste2670
Q1Q771;nuoK;NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K);KSMBR1_3981;kuste2669
A0A2C9CL24;nuoJ;NADH-quinone oxidoreductase subunit J (EC 7.1.1.-);KSMBR1_3982;
Q1Q773;nuoI;NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I);KSMBR1_3983;kuste2667
Q1Q754;nuoH;NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H);KSMBR1_3984;kuste2666
A0A2C9CNU1;nuoG;NADH-quinone oxidoreductase (EC 7.1.1.-);KSMBR1_3985;
A0A2C9CLJ4;nuoF_4;NADH-quinone oxidoreductase subunit F (EC 7.1.1.-);KSMBR1_3986;
Q1Q757;nuoE nuoE_5;Strongly similar to NADH dehydrogenase I chain E (EC 1.6.5.3);KSMBR1_3987;kuste2663
A0A2C9CLC6;nuoCD;Strongly similar to NADH dehydrogenase I chain C/D (EC 1.6.5.3);KSMBR1_3988;
Q1Q759;nuoB;NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B);KSMBR1_3989;kuste2661
Q1Q760;nuoA nuoA_2;NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1);KSMBR1_3990;kuste2660
Q1Q761;;Uncharacterized protein;KSMBR1_3991;kuste2659
A0A2C9CL37;;Uncharacterized protein;KSMBR1_3992;
A0A2C9CLF9;;Uncharacterized protein;KSMBR1_3993;
Q1Q746;;DDE_5 domain-containing protein;KSMBR1_3994;kuste2656
A0A2C9CKM0;;DDE_Tnp_1 domain-containing protein;KSMBR1_3997;
A0A2C9CLD6;;Hypothetcal protein;KSMBR1_3998;
Q1Q740;;Uncharacterized protein;KSMBR1_4000;kuste2643
A0A2C9CLK2;;Uncharacterized protein;KSMBR1_4001;
Q1Q741;;HTH_Tnp_ISL3 domain-containing protein;KSMBR1_4002;kuste2642
Q1Q743;;Uncharacterized protein;KSMBR1_4003;kuste2640
A0A2C9CLE0;;YcfA-like protein;KSMBR1_4004;
Q1Q727;;Uncharacterized protein;KSMBR1_4006;kuste2637
Q1Q729;;Uncharacterized protein;KSMBR1_4008;kuste2635
Q1Q730;;Uncharacterized protein;KSMBR1_4009;kuste2634
A0A2C9CL81;;Uncharacterized protein;KSMBR1_4010;
A0A2C9CLK5;;Transposase;KSMBR1_4011;
A0A2C9CLH9;;Uncharacterized protein;KSMBR1_4013;
A0A2C9CLE8;;Uncharacterized protein;KSMBR1_4014;
A0A2C9CNX0;;Uncharacterized protein;KSMBR1_4015;
A0A2C9CLM8;;Putative orf;KSMBR1_4016;
A0A2C9CKP0;;Putative transposase;KSMBR1_4017;
A0A2C9CLF6;;Putative orf;KSMBR1_4018;
A0A2C9CLE3;;Uncharacterized protein;KSMBR1_4019;
Q1Q720;;Predicted orf (Putative orf);KSMBR1_4020;kuste2626
Q1Q721;;Predicted orf (Putative orf);KSMBR1_4021;kuste2625
Q1Q722;;Putative fusion protein of n terminal phosphoserine phosphatase and c-terminal phosphatidate cytidylyltransferase;KSMBR1_4022;kuste2624
Q1Q723;;Similar to collagenase related proteinase PrtC;KSMBR1_4023;kuste2623
Q1Q724;;Similar to serine protease Do;KSMBR1_4024;kuste2622
A0A2C9CNY0;;Putative orf;KSMBR1_4025;
A0A2C9CLN9;;Putative transposase;KSMBR1_4026;
A0A2C9CLG8;;Uncharacterized protein;KSMBR1_4028;
A0A2C9CL99;;Putative orf;KSMBR1_4030;
Q1Q700;;Predicted orf (Putative orf);KSMBR1_4032;kuste2611
A0A2C9CLG6;;Uncharacterized protein;KSMBR1_4034;
A0A2C9CNZ1;;Zeta toxin;KSMBR1_4035;
A0A2C9CLP8;;Uncharacterized protein;KSMBR1_4036;
A0A2C9CKQ8;;Uncharacterized protein;KSMBR1_4037;
A0A2C9CLH8;;Uncharacterized protein;KSMBR1_4038;
A0A2C9CLF7;;Uncharacterized protein;KSMBR1_4039;
A0A2C9CLA9;;Putative type I restriction enzymeP M protein (EC 2.1.1.72);KSMBR1_4040;
A0A2C9CLP0;;PIN domain protein;KSMBR1_4041;
A0A2C9CLH6;;Uncharacterized protein;KSMBR1_4044;
Q1Q456;;Methylase_S domain-containing protein;KSMBR1_4045;kuste4029
A0A2C9CLQ9;hsdS_2;Type-1 restriction enzyme EcoKI specificity protein;KSMBR1_4046;
Q1Q458;;Uncharacterized protein;KSMBR1_4047;kuste4027
Q1Q441;;N-6 DNA Methylase;KSMBR1_4048;kuste4026
A0A2C9CLG7;;Putative multiheme cytochrome c protein;KSMBR1_4049;
A0A2C9CLC3;;Uncharacterized protein;KSMBR1_4050;
Q1Q444;;Lactamase_B domain-containing protein;KSMBR1_4051;kuste4023
Q1Q445;pssA;Similar to CDP-diacylglycerol-serine O-phosphatidyltransferase (EC 2.7.8.8);KSMBR1_4052;kuste4022
Q1Q446;;Uncharacterized protein;KSMBR1_4053;kuste4021
A0A2C9CLI6;nth_2;ENDO3c domain-containing protein;KSMBR1_4054;
A0A2C9CP11;lipA;Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA);KSMBR1_4055;
A0A2C9CLS3;thiD;Strongly similar to phosphomethylpyrimidine kinase (EC 2.7.4.7);KSMBR1_4056;
A0A2C9CKS8;;C2H2-type domain-containing protein;KSMBR1_4057;
A0A2C9CLJ8;lpxK;Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase);KSMBR1_4058;
Q1Q434;;Strongly similar to ferredoxin;KSMBR1_4059;kuste4015
Q1Q435;;Uncharacterized protein;KSMBR1_4060;kuste4014
A0A2C9CLS2;;Uncharacterized protein;KSMBR1_4061;
Q1Q437;;Uncharacterized protein;KSMBR1_4062;kuste4012
A0A2C9CLN6;;Uncharacterized protein;KSMBR1_4063;
Q1Q439;;TPR_REGION domain-containing protein;KSMBR1_4064;kuste4010
A0A2C9CP24;;Uncharacterized protein;KSMBR1_4065;
A0A2C9CLT2;;Integrase_SAM-like_N domain-containing protein;KSMBR1_4066;
Q1Q422;;Integrase_SAM-like_N domain-containing protein;KSMBR1_4067;kuste4008
Q1Q423;;HTH cro/C1-type domain-containing protein;KSMBR1_4068;kuste4007
Q1Q424;;Uncharacterized protein;KSMBR1_4069;kuste4006
Q1Q425;;Uncharacterized protein;KSMBR1_4070;kuste4005
A0A2C9CLT0;;Uncharacterized protein;KSMBR1_4071;
A0A2C9CLB4;;Acid-resistance membrane protein;KSMBR1_4072;
A0A2C9CP34;;AAA_lid_9 domain-containing protein;KSMBR1_4075;
Q1Q413;;Uncharacterized protein;KSMBR1_4076;kuste3997
